Spacecraft,Landing Type,Landing/Impact Date,"Latitude, Longitude","Latitude, Longitude (N, E Positive)",Notes,L O,A P,L R O,,"Notes: Columns at the end of each row (LO - Lunar Orbiters 1 through 5 ; Ap - Apollo 15, 16, 17 metric and pan cameras ; and LRO - Lunar Reconnaissance Orbiter) show when those missions were operating (darker shades) or the period before operations (lighter shades), so any object or impact could be in one of the images. White indicates the landing/impact occurred after the end of the given orbital mission and cannot be in those images.",
Luna 18,Impact,   11 September 1971   ,"   3.76 N, 56.66 E   ","   3.76, 56.66   ",n,,,,,,
Apollo 15 subsatellite,Impact,   Unknown (1973-)   ,   Unknown   ,   Unknown   ,g,,,,,,
Luna 20,Soft Landing,   21 February 1972   ,"   3.7863 N, 56.6242 E   ","   3.7863, 56.6242   ",d,,,,,,
Apollo 16 S-IVB,Impact,   19 April 1972   ,"   1.9210 N, 24.6230 W   ","   1.9210, 335.3770   ",d,,,,,,
Apollo 16 LM descent stage,Crewed Landing,   21 April 1972   ,"   8.9734 S, 15.5011 E   ","   -8.9734, 15.5011   ",d,,,,,,
Apollo 16 LM ascent stage,Impact,   Unknown (1972-73)   ,   Unknown   ,   Unknown   ,g,,,,,,
Apollo 16 subsatellite,Impact,   29 May 1972   ,"   10.16 N, 111.9 E   ","   10.16, 111.9   ",o,,,,,,
Apollo 16 MS boom,Impact,   Unknown (1972)   ,   Unknown   ,   Unknown   ,p,,,,,,
Apollo 17 S-IVB,Impact,   10 December 1972   ,"   4.1681 S, 12.3307 W   ","   -4.1681, 347.6693   ",d,,,,,,
Apollo 17 LM descent stage,Crewed Landing,   11 December 1972   ,"   20.1911 N, 30.7723 E   ","   20.1911, 30.7723   ",d,,,,,,
Apollo 17 LM ascent stage,Impact,   15 December 1972   ,"   19.97 N, 30.49 E   ","   19.97, 30.49   ",m,,,,,,
Luna 19,Impact,   Unknown (1973)   ,   Unknown   ,   Unknown   ,g,,,,,,
Luna 21,Soft Landing,   15 January 1973   ,"   25.9994 N, 30.4076 E   ","   25.9994, 30.4076   ",d,,,,,,
Lunokhod 2,Rover,   15 January 1973   ,"   25.8323 N, 30.9222 E   ","   25.8323, 30.9222   ",d,,,,,,
Explorer 35/IMP-E,Impact,   Unknown (1973,   Unknown   ,   Unknown   ,g,,,,,,
Luna 23,Soft Landing,   6 November 1974   ,"   12.6667 N, 62.1511 E   ","   12.6667, 62.1511   ",d,,,,,,
Luna 22,Impact,   Unknown (1976)   ,   Unknown   ,   Unknown   ,g,,,,,,
Luna 24,Soft Landing,   18 August 1976   ,"   12.7142 N, 62.2129 E   ","   12.7142, 62.2129   ",d,,,,,,
Explorer 49/RAE-B,Impact,   Unknown (1977 or later),   Unknown   ,   Unknown   ,g,,,,,,
Hiten,Impact,   10 April 1993   ,"   34.0 S, 55.3 E   ","   -34.0, 55.3   ",q,,,,,,
Hagoromo,Impact,   Unknown   ,   Unknown   ,   Unknown   ,r,,,,,,
Lunar Prospector,Impact,   31 July 1999   ,"   87.7 S, 42.0 E   ","   -87.7, 42.0   ",o,,,,,,
SMART-1,Impact,   3 September 2006   ,"   34.4 S, 46.2 W   ","   -34.4, 313.8   ",s,,,,,,
Chandraya'an 1 MIP,Impact,   14 November 2008   ,"   89 S, 30 W   ","   -89., 330.   ",t,,,,,,
Okina,Impact,   12 February 2009   ,"   28.213 N, 159.033 W   ","   28.213, 200.967   ",u,,,,,,
Ouna,Impact,   Unknown (2009-)   ,   Unknown   ,   Unknown   ,v,,,,,,
Chang'e 1,Impact,   1 March 2009   ,"   1.50 S, 52.36 E   ","   -1.50, 52.36   ",w,,,,,,
Kaguya,Impact,   10 June 2009   ,"   65.5 S, 80.4 E   ","   -65.5, 80.4   ",x,,,,,,
LCROSS Centaur,Impact,   9 October 2009   ,"   84.6796 S, 48.7093 W   ","   -84.6796, 311.2907   ",y,,,,,,
LCROSS spacecraft,Impact,   9 October 2009   ,"   84.719 S, 49.61 W   ","   -84.719, 310.39   ",y,,,,,,
GRAIL A,Impact,   17 December 2012   ,"   75.6088 N, 26.5940 W   ","   75.6088, 333.4060   ",d,,,,,,
GRAIL B,Impact,   17 December 2012   ,"   75.6508 N, 26.8341 W   ","   75.6508, 333.1659   ",d,,,,,,
Chang'e 3,Soft Landing,   14 December 2013   ,"   44.1214 N, 19.5117 W   ","   44.1214, 340.4883   ",d,,,,,,
Yutu Rover,Soft Landing,   14 December 2013   ,"   44.1208 N, 19.5122 W   ","   44.1208, 340.4878   ",d,,,,,,
LADEE,Impact,   18 April 2014   ,"   11.8494 N, 93.2494 W   ","   11.8494, 266.7506   ",d,,,,,,
Chang'e 4,Soft Landing,   3 January 2019   ,"   45.4561 S, 177.5885 E   ","   -45.4561, 177.5885   ",d,,,,,,
Yutu 2,Soft Landing,   3 January 2019   ,"   45.46 S, 177.59 E   ","   -45.46, 177.59   ",z,,,,,,
Beresheet,Impact,   11 April 2019   ,"   32.5956 N, 19.3496 E   ","   32.5956, 19.3496   ",d,,,,,,
Longjiang 2,Impact,   31 July 2019   ,"   16.6956 N, 159.5170 E   ","   16.6956, 159.5170   ",d,,,,,,
Vikram,Impact,   6 September 2019   ,"   70.8810 S, 22.7840 E   ","   -70.8810, 22.7840   ",d,,,,,,
Chang'e 5,Soft Landing,   1 December 2020   ,"   43.0576 N, 51.9161 W   ","   43.0576, 308.0839   ",d,,,,,,
Chang'e 5 Ascent Craft,Impact,   7 December 2020   ,"   30. S, 0. E   ","   -30., 0.   ",aa,,,,,,
Chang'e 5-T1 Booster,Impact,   4 March 2022   ,"   5.226 N, 234.486 E   ","   5.226, 234.486   ",bb,,,,,,
Hakuto-R Mission 1,Impact,   25 April 2023   ,"   47.581 N, 44.094 E   ","   47.581, 44.094   ",d,,,,,,
Luna 25,Impact,   19 August 2023   ,"   69.545 S, 43.544 E   ","   -69.545, 43.544   ",d,,,,,,
Chandrayaan 3,Lander,   23 August 2023   ,"   69.3741 S, 32.32 E   ","   -69.3741, 32.32   ",d,,,,,,
SLIM,Lander,   19 January 2024   ,"   13.3160 S, 25.2510 E   ","   -13.3160, 25.2510   ",d,,,,,,
Odysseus (IM-1),Lander,   22 February 2024   ,"   80.13 S, 1.44 E   ","   -80.13, 1.44   ",d,,,,,,
Chang'e 6,Lander,   1 June 2024   ,"   41.6385 S, 153.9852 W   ","   -41.6385, 206.0148   ",d,,,,,,
